PatronID,DrinkName,PreparationTime,ArrivalTime,ServiceStartTime,CompletionTime,WaitingTime,ResponseTime,TurnaroundTime,Scheduler,OverheadSwitchTime
0,Tequila shot,20,1779028574794,1779028574796,1779028574818,2,2,24,PRIORITY,1
0,Red Wine,25,1779028574823,1779028574831,1779028574857,8,8,34,PRIORITY,1
0,Pina Colada,100,1779028575008,1779028575008,1779028575111,0,0,103,PRIORITY,1
1,Cosmopolitan,65,1779028575050,1779028575115,1779028575181,65,65,131,PRIORITY,1
1,Margarita,75,1779028575232,1779028575232,1779028575308,0,0,76,PRIORITY,1
0,Pina Colada,100,1779028575232,1779028575312,1779028575414,80,80,182,PRIORITY,1
2,Mojito,75,1779028575478,1779028575478,1779028575556,0,0,78,PRIORITY,1
0,Bloody Mary,70,1779028575535,1779028575561,1779028575633,26,26,98,PRIORITY,1
3,Bloody Mary,70,1779028575485,1779028575636,1779028575707,151,151,222,PRIORITY,1
2,Cider,25,1779028575668,1779028575711,1779028575736,43,43,68,PRIORITY,1
4,Vodka shot,20,1779028575667,1779028575740,1779028575761,73,73,94,PRIORITY,1
4,Martini,60,1779028575766,1779028575766,1779028575826,0,0,60,PRIORITY,1
0,Margarita,75,1779028575783,1779028575830,1779028575906,47,47,123,PRIORITY,1
2,Gin and Tonic,40,1779028575838,1779028575909,1779028575951,71,71,113,PRIORITY,1
3,Draft Beer,50,1779028575858,1779028575955,1779028576007,97,97,149,PRIORITY,1
4,Beer,25,1779028575938,1779028576011,1779028576037,73,73,99,PRIORITY,1
5,Beer,25,1779028576210,1779028576210,1779028576236,0,0,26,PRIORITY,1
6,White Wine,25,1779028576254,1779028576255,1779028576281,1,1,27,PRIORITY,1
5,Pina Colada,100,1779028576336,1779028576336,1779028576437,0,0,101,PRIORITY,1
6,Cider,25,1779028576433,1779028576442,1779028576468,9,9,35,PRIORITY,1
7,Martini,60,1779028576414,1779028576471,1779028576531,57,57,117,PRIORITY,1
8,Cosmopolitan,65,1779028576458,1779028576534,1779028576600,76,76,142,PRIORITY,1
5,Cosmopolitan,65,1779028576559,1779028576604,1779028576669,45,45,110,PRIORITY,1
7,Bloody Mary,70,1779028576642,1779028576673,1779028576744,31,31,102,PRIORITY,1
8,Bloody Mary,70,1779028576651,1779028576750,1779028576822,99,99,171,PRIORITY,1
8,Red Wine,25,1779028576973,1779028576973,1779028577001,0,0,28,PRIORITY,1
9,Beer,25,1779028578399,1779028578400,1779028578425,1,1,26,PRIORITY,1
9,B52,200,1779028578526,1779028578526,1779028578728,0,0,202,PRIORITY,1
9,Vodka shot,20,1779028578739,1779028578739,1779028578761,0,0,22,PRIORITY,1
9,B52,200,1779028578765,1779028578767,1779028578970,2,2,205,PRIORITY,1
0,Martini,60,1779028587932,1779028587934,1779028587995,2,2,63,PRIORITY,2
1,Red Wine,25,1779028587965,1779028588018,1779028588044,53,53,79,PRIORITY,2
1,Tequila shot,20,1779028588197,1779028588197,1779028588219,0,0,22,PRIORITY,2
1,Beer,25,1779028588223,1779028588224,1779028588250,1,1,27,PRIORITY,2
1,Martini,60,1779028588351,1779028588351,1779028588413,0,0,62,PRIORITY,2
1,Cosmopolitan,65,1779028588524,1779028588524,1779028588591,0,0,67,PRIORITY,2
1,Vodka shot,20,1779028588642,1779028588642,1779028588663,0,0,21,PRIORITY,2
1,Vodka shot,20,1779028588667,1779028588669,1779028588690,2,2,23,PRIORITY,2
1,White Wine,25,1779028588694,1779028588697,1779028588725,3,3,31,PRIORITY,2
2,White Wine,25,1779028589062,1779028589062,1779028589089,0,0,27,PRIORITY,2
2,Mojito,75,1779028589240,1779028589240,1779028589316,0,0,76,PRIORITY,2
2,Vodka shot,20,1779028589428,1779028589428,1779028589449,0,0,21,PRIORITY,2
2,Beer,25,1779028589453,1779028589455,1779028589481,2,2,28,PRIORITY,2
2,Tequila shot,20,1779028589582,1779028589582,1779028589602,0,0,20,PRIORITY,2
3,Vodka shot,20,1779028589603,1779028589606,1779028589628,3,3,25,PRIORITY,2
2,White Wine,25,1779028589606,1779028589634,1779028589661,28,28,55,PRIORITY,2
2,Margarita,75,1779028589812,1779028589813,1779028589889,1,1,77,PRIORITY,2
4,Beer,25,1779028590034,1779028590035,1779028590061,1,1,27,PRIORITY,2
4,White Wine,25,1779028590163,1779028590163,1779028590189,0,0,26,PRIORITY,2
5,Margarita,75,1779028590238,1779028590238,1779028590315,0,0,77,PRIORITY,2
4,Margarita,75,1779028590348,1779028590348,1779028590425,0,0,77,PRIORITY,2
5,White Wine,25,1779028590396,1779028590430,1779028590455,34,34,59,PRIORITY,2
4,Draft Beer,50,1779028590507,1779028590507,1779028590559,0,0,52,PRIORITY,2
6,Martini,60,1779028590601,1779028590602,1779028590663,1,1,62,PRIORITY,2
4,B52,200,1779028590660,1779028590668,1779028590870,8,8,210,PRIORITY,2
5,Cosmopolitan,65,1779028590608,1779028590885,1779028590952,277,277,344,PRIORITY,2
6,B52,200,1779028590774,1779028590956,1779028591157,182,182,383,PRIORITY,2
5,Mojito,75,1779028591003,1779028591161,1779028591236,158,158,233,PRIORITY,2
6,Tequila shot,20,1779028591169,1779028591242,1779028591264,73,73,95,PRIORITY,2
6,Cider,25,1779028591268,1779028591270,1779028591296,2,2,28,PRIORITY,2
7,Martini,60,1779028591218,1779028591302,1779028591363,84,84,145,PRIORITY,2
8,Red Wine,25,1779028591373,1779028591373,1779028591399,0,0,26,PRIORITY,2
6,B52,200,1779028591397,1779028591403,1779028591604,6,6,207,PRIORITY,2
7,Draft Beer,50,1779028591475,1779028591610,1779028591662,135,135,187,PRIORITY,2
6,Beer,25,1779028591615,1779028591666,1779028591692,51,51,77,PRIORITY,2
8,Beer,25,1779028591550,1779028591697,1779028591722,147,147,172,PRIORITY,2
7,Cosmopolitan,65,1779028591763,1779028591763,1779028591829,0,0,66,PRIORITY,2
8,Beer,25,1779028591823,1779028591833,1779028591859,10,10,36,PRIORITY,2
8,Bloody Mary,70,1779028591960,1779028591960,1779028592031,0,0,71,PRIORITY,2
9,White Wine,25,1779028592299,1779028592299,1779028592325,0,0,26,PRIORITY,2
9,Bloody Mary,70,1779028592477,1779028592477,1779028592548,0,0,71,PRIORITY,2
9,Margarita,75,1779028592700,1779028592700,1779028592776,0,0,76,PRIORITY,2
0,Martini,60,1779028599045,1779028599047,1779028599110,2,2,65,PRIORITY,3
1,B52,200,1779028599249,1779028599249,1779028599450,0,0,201,PRIORITY,3
1,Mojito,75,1779028599461,1779028599461,1779028599537,0,0,76,PRIORITY,3
2,Martini,60,1779028599712,1779028599712,1779028599774,0,0,62,PRIORITY,3
2,B52,200,1779028599885,1779028599885,1779028600086,0,0,201,PRIORITY,3
3,Cosmopolitan,65,1779028599983,1779028600091,1779028600157,108,108,174,PRIORITY,3
2,Draft Beer,50,1779028600098,1779028600163,1779028600215,65,65,117,PRIORITY,3
3,Cosmopolitan,65,1779028600209,1779028600222,1779028600288,13,13,79,PRIORITY,3
4,White Wine,25,1779028600019,1779028600294,1779028600320,275,275,301,PRIORITY,3
2,Bloody Mary,70,1779028600316,1779028600327,1779028600398,11,11,82,PRIORITY,3
3,Margarita,75,1779028600339,1779028600404,1779028600480,65,65,141,PRIORITY,3
4,Tequila shot,20,1779028600471,1779028600486,1779028600507,15,15,36,PRIORITY,3
5,Bloody Mary,70,1779028600224,1779028600513,1779028600584,289,289,360,PRIORITY,3
2,Cosmopolitan,65,1779028600549,1779028600589,1779028600655,40,40,106,PRIORITY,3
