PatronID,DrinkName,PreparationTime,ArrivalTime,ServiceStartTime,CompletionTime,WaitingTime,ResponseTime,TurnaroundTime,Scheduler,OverheadSwitchTime
0,Tequila shot,20,1779029104295,1779029104296,1779029104318,1,1,23,PRIORITY,6
0,B52,200,1779029104323,1779029104341,1779029104543,18,18,220,PRIORITY,6
0,Red Wine,25,1779029104554,1779029104558,1779029104584,4,4,30,PRIORITY,6
0,B52,200,1779029104735,1779029104735,1779029104936,0,0,201,PRIORITY,6
0,Cosmopolitan,65,1779029104948,1779029104948,1779029105014,0,0,66,PRIORITY,6
0,Mojito,75,1779029105064,1779029105064,1779029105141,0,0,77,PRIORITY,6
0,Cider,25,1779029105252,1779029105252,1779029105279,0,0,27,PRIORITY,6
1,Red Wine,25,1779029105287,1779029105289,1779029105314,2,2,27,PRIORITY,6
0,Cosmopolitan,65,1779029105380,1779029105380,1779029105447,0,0,67,PRIORITY,6
2,Gin and Tonic,40,1779029105440,1779029105455,1779029105496,15,15,56,PRIORITY,6
1,Bloody Mary,70,1779029105465,1779029105504,1779029105575,39,39,110,PRIORITY,6
3,Beer,25,1779029105442,1779029105583,1779029105609,141,141,167,PRIORITY,6
2,Beer,25,1779029105607,1779029105619,1779029105646,12,12,39,PRIORITY,6
3,Mojito,75,1779029105710,1779029105710,1779029105787,0,0,77,PRIORITY,6
1,Pina Colada,100,1779029105726,1779029105796,1779029105897,70,70,171,PRIORITY,6
2,Margarita,75,1779029105747,1779029105907,1779029105982,160,160,235,PRIORITY,6
3,Vodka shot,20,1779029105899,1779029105990,1779029106012,91,91,113,PRIORITY,6
1,Vodka shot,20,1779029106019,1779029106021,1779029106041,2,2,22,PRIORITY,6
1,Draft Beer,50,1779029106045,1779029106050,1779029106101,5,5,56,PRIORITY,6
2,White Wine,25,1779029106063,1779029106110,1779029106136,47,47,73,PRIORITY,6
3,Draft Beer,50,1779029106016,1779029106146,1779029106196,130,130,180,PRIORITY,6
1,White Wine,25,1779029106202,1779029106205,1779029106231,3,3,29,PRIORITY,6
4,Red Wine,25,1779029105900,1779029106239,1779029106265,339,339,365,PRIORITY,6
5,Bloody Mary,70,1779029105974,1779029106272,1779029106343,298,298,369,PRIORITY,6
1,Cider,25,1779029106381,1779029106381,1779029106407,0,0,26,PRIORITY,6
4,Mojito,75,1779029106416,1779029106416,1779029106493,0,0,77,PRIORITY,6
5,Red Wine,25,1779029106496,1779029106503,1779029106529,7,7,33,PRIORITY,6
1,Margarita,75,1779029106510,1779029106538,1779029106615,28,28,105,PRIORITY,6
4,Vodka shot,20,1779029106604,1779029106625,1779029106646,21,21,42,PRIORITY,6
4,Draft Beer,50,1779029106650,1779029106658,1779029106708,8,8,58,PRIORITY,6
5,Gin and Tonic,40,1779029106680,1779029106718,1779029106759,38,38,79,PRIORITY,6
