PatronID,DrinkName,PreparationTime,ArrivalTime,ServiceStartTime,CompletionTime,WaitingTime,ResponseTime,TurnaroundTime,Scheduler,OverheadSwitchTime
0,Margarita,75,1779025151469,1779025151469,1779025151545,0,0,76,SJF,1
0,B52,200,1779025151627,1779025151627,1779025151828,0,0,201,SJF,1
1,Bloody Mary,70,1779025151845,1779025151845,1779025151915,0,0,70,SJF,1
1,Red Wine,25,1779025152068,1779025152068,1779025152095,0,0,27,SJF,1
2,White Wine,25,1779025152124,1779025152124,1779025152149,0,0,25,SJF,1
1,Mojito,75,1779025152245,1779025152245,1779025152323,0,0,78,SJF,1
2,Tequila shot,20,1779025152300,1779025152327,1779025152347,27,27,47,SJF,1
3,Beer,25,1779025152334,1779025152352,1779025152378,18,18,44,SJF,1
2,Martini,60,1779025152352,1779025152382,1779025152443,30,30,91,SJF,1
1,B52,200,1779025152435,1779025152451,1779025152652,16,16,217,SJF,1
5,White Wine,25,1779025152614,1779025152655,1779025152680,41,41,66,SJF,1
1,White Wine,25,1779025152664,1779025152684,1779025152710,20,20,46,SJF,1
3,Gin and Tonic,40,1779025152479,1779025152714,1779025152755,235,235,276,SJF,1
2,Cosmopolitan,65,1779025152556,1779025152759,1779025152825,203,203,269,SJF,1
6,Bloody Mary,70,1779025152742,1779025152834,1779025152905,92,92,163,SJF,1
3,Tequila shot,20,1779025152866,1779025152909,1779025152930,43,43,64,SJF,1
1,Red Wine,25,1779025152862,1779025152936,1779025152962,74,74,100,SJF,1
3,Martini,60,1779025152934,1779025152968,1779025153029,34,34,95,SJF,1
5,Margarita,75,1779025152831,1779025153033,1779025153110,202,202,279,SJF,1
6,White Wine,25,1779025153057,1779025153114,1779025153139,57,57,82,SJF,1
1,Vodka shot,20,1779025153114,1779025153143,1779025153164,29,29,50,SJF,1
4,B52,200,1779025152444,1779025153169,1779025153369,725,725,925,SJF,1
6,Draft Beer,50,1779025153290,1779025153374,1779025153425,84,84,135,SJF,1
4,Vodka shot,20,1779025153380,1779025153430,1779025153452,50,50,72,SJF,1
5,Pina Colada,100,1779025153193,1779025153455,1779025153558,262,262,365,SJF,1
6,Cider,25,1779025153528,1779025153564,1779025153591,36,36,63,SJF,1
4,Margarita,75,1779025153455,1779025153597,1779025153674,142,142,219,SJF,1
7,B52,200,1779025152958,1779025153679,1779025153880,721,721,922,SJF,1
4,Cosmopolitan,65,1779025153755,1779025153884,1779025153950,129,129,195,SJF,1
7,Cider,25,1779025153891,1779025153953,1779025153979,62,62,88,SJF,1
8,Martini,60,1779025153935,1779025153983,1779025154044,48,48,109,SJF,1
4,Beer,25,1779025154001,1779025154047,1779025154073,46,46,72,SJF,1
7,Pina Colada,100,1779025154080,1779025154080,1779025154181,0,0,101,SJF,1
8,Beer,25,1779025154156,1779025154185,1779025154211,29,29,55,SJF,1
7,White Wine,25,1779025154302,1779025154302,1779025154329,0,0,27,SJF,1
8,Martini,60,1779025154314,1779025154333,1779025154395,19,19,81,SJF,1
7,Red Wine,25,1779025154479,1779025154479,1779025154505,0,0,26,SJF,1
