PatronID,DrinkName,PreparationTime,ArrivalTime,ServiceStartTime,CompletionTime,WaitingTime,ResponseTime,TurnaroundTime,Scheduler,OverheadSwitchTime
0,Mojito,75,1779019554236,1779019554237,1779019554314,1,1,78,FCFS,0
0,Bloody Mary,70,1779019554428,1779019554428,1779019554500,0,0,72,FCFS,0
1,Cosmopolitan,65,1779019554484,1779019554502,1779019554569,18,18,85,FCFS,0
2,Draft Beer,50,1779019554596,1779019554596,1779019554648,0,0,52,FCFS,0
1,Gin and Tonic,40,1779019554620,1779019554650,1779019554691,30,30,71,FCFS,0
0,Draft Beer,50,1779019554651,1779019554694,1779019554745,43,43,94,FCFS,0
3,Red Wine,25,1779019554658,1779019554759,1779019554784,101,101,126,FCFS,0
4,Martini,60,1779019554741,1779019554787,1779019554847,46,46,106,FCFS,0
5,Margarita,75,1779019554831,1779019554848,1779019554924,17,17,93,FCFS,0
0,Draft Beer,50,1779019554846,1779019554930,1779019554981,84,84,135,FCFS,0
6,B52,200,1779019554936,1779019554983,1779019555184,47,47,248,FCFS,0
7,Gin and Tonic,40,1779019554946,1779019555188,1779019555229,242,242,283,FCFS,0
4,Gin and Tonic,40,1779019554958,1779019555232,1779019555273,274,274,315,FCFS,0
8,Pina Colada,100,1779019554968,1779019555277,1779019555377,309,309,409,FCFS,0
5,Cosmopolitan,65,1779019555005,1779019555379,1779019555446,374,374,441,FCFS,0
9,Red Wine,25,1779019555019,1779019555450,1779019555476,431,431,457,FCFS,0
6,Pina Colada,100,1779019555196,1779019555478,1779019555580,282,282,384,FCFS,0
10,Martini,60,1779019555245,1779019555583,1779019555644,338,338,399,FCFS,0
11,Cosmopolitan,65,1779019555248,1779019555645,1779019555712,397,397,464,FCFS,0
12,Tequila shot,20,1779019555318,1779019555715,1779019555737,397,397,419,FCFS,0
7,Beer,25,1779019555340,1779019555739,1779019555767,399,399,427,FCFS,0
13,White Wine,25,1779019555359,1779019555769,1779019555796,410,410,437,FCFS,0
4,Cosmopolitan,65,1779019555385,1779019555798,1779019555864,413,413,479,FCFS,0
14,White Wine,25,1779019555424,1779019555865,1779019555891,441,441,467,FCFS,0
15,Gin and Tonic,40,1779019555453,1779019555893,1779019555934,440,440,481,FCFS,0
16,Martini,60,1779019555488,1779019555936,1779019555997,448,448,509,FCFS,0
5,Tequila shot,20,1779019555499,1779019555999,1779019556020,500,500,521,FCFS,0
8,Vodka shot,20,1779019555499,1779019556023,1779019556044,524,524,545,FCFS,0
9,Pina Colada,100,1779019555628,1779019556046,1779019556147,418,418,519,FCFS,0
12,Bloody Mary,70,1779019555741,1779019556149,1779019556220,408,408,479,FCFS,0
10,Bloody Mary,70,1779019555754,1779019557832,1779019557904,2078,2078,2150,FCFS,0
11,Mojito,75,1779019555763,1779019557905,1779019557981,2142,2142,2218,FCFS,0
17,Margarita,75,1779019555808,1779019557982,1779019558059,2174,2174,2251,FCFS,0
18,Tequila shot,20,1779019555838,1779019558062,1779019558083,2224,2224,2245,FCFS,0
7,Cider,25,1779019555868,1779019558085,1779019558111,2217,2217,2243,FCFS,0
4,Bloody Mary,70,1779019555915,1779019558114,1779019558186,2199,2199,2271,FCFS,0
13,B52,200,1779019555947,1779019558188,1779019558389,2241,2241,2442,FCFS,0
19,Red Wine,25,1779019555974,1779019558391,1779019558417,2417,2417,2443,FCFS,0
20,Tequila shot,20,1779019555986,1779019558418,1779019558440,2432,2432,2454,FCFS,0
5,Cosmopolitan,65,1779019556024,1779019558444,1779019558510,2420,2420,2486,FCFS,0
21,Pina Colada,100,1779019556030,1779019558511,1779019558612,2481,2481,2582,FCFS,0
14,Cosmopolitan,65,1779019556042,1779019558614,1779019558680,2572,2572,2638,FCFS,0
15,B52,200,1779019556047,1779019558683,1779019558884,2636,2636,2837,FCFS,0
8,B52,200,1779019556049,1779019558888,1779019559089,2839,2839,3040,FCFS,0
22,Bloody Mary,70,1779019556068,1779019559091,1779019559162,3023,3023,3094,FCFS,0
16,Beer,25,1779019556108,1779019559164,1779019559190,3056,3056,3082,FCFS,0
9,Tequila shot,20,1779019556268,1779019559193,1779019559216,2925,2925,2948,FCFS,0
12,Tequila shot,20,1779019556371,1779019559218,1779019559240,2847,2847,2869,FCFS,0
23,Red Wine,25,1779019556436,1779019559245,1779019559271,2809,2809,2835,FCFS,0
24,Gin and Tonic,40,1779019556492,1779019559275,1779019559317,2783,2783,2825,FCFS,0
25,Gin and Tonic,40,1779019556509,1779019559318,1779019559361,2809,2809,2852,FCFS,0
27,Beer,25,1779019556573,1779019559362,1779019559389,2789,2789,2816,FCFS,0
26,Margarita,75,1779019556573,1779019559391,1779019559468,2818,2818,2895,FCFS,0
28,Cosmopolitan,65,1779019556588,1779019559470,1779019559536,2882,2882,2948,FCFS,0
29,Beer,25,1779019556614,1779019559537,1779019559563,2923,2923,2949,FCFS,0
30,Gin and Tonic,40,1779019556689,1779019559565,1779019559607,2876,2876,2918,FCFS,0
31,Cosmopolitan,65,1779019556744,1779019559609,1779019559674,2865,2865,2930,FCFS,0
32,Martini,60,1779019556905,1779019559677,1779019559739,2772,2772,2834,FCFS,0
34,Bloody Mary,70,1779019556961,1779019559743,1779019559815,2782,2782,2854,FCFS,0
33,Margarita,75,1779019556963,1779019559816,1779019559891,2853,2853,2928,FCFS,0
35,Gin and Tonic,40,1779019557008,1779019559892,1779019559934,2884,2884,2926,FCFS,0
36,Martini,60,1779019557308,1779019559935,1779019559997,2627,2627,2689,FCFS,0
37,Bloody Mary,70,1779019557331,1779019559998,1779019560068,2667,2667,2737,FCFS,0
38,Cosmopolitan,65,1779019557405,1779019560070,1779019560137,2665,2665,2732,FCFS,0
39,Gin and Tonic,40,1779019557480,1779019560142,1779019560183,2662,2662,2703,FCFS,0
40,Martini,60,1779019557531,1779019560185,1779019560247,2654,2654,2716,FCFS,0
41,B52,200,1779019557697,1779019560249,1779019560450,2552,2552,2753,FCFS,0
42,Gin and Tonic,40,1779019557787,1779019560451,1779019560494,2664,2664,2707,FCFS,0
43,Vodka shot,20,1779019557842,1779019560495,1779019560516,2653,2653,2674,FCFS,0
11,Vodka shot,20,1779019558092,1779019560519,1779019560540,2427,2427,2448,FCFS,0
17,Bloody Mary,70,1779019558139,1779019560544,1779019560615,2405,2405,2476,FCFS,0
44,Beer,25,1779019558156,1779019560616,1779019560642,2460,2460,2486,FCFS,0
7,Draft Beer,50,1779019558212,1779019560643,1779019560695,2431,2431,2483,FCFS,0
4,Martini,60,1779019558339,1779019560697,1779019560759,2358,2358,2420,FCFS,0
13,Draft Beer,50,1779019558400,1779019560760,1779019560812,2360,2360,2412,FCFS,0
20,Bloody Mary,70,1779019558446,1779019560813,1779019560885,2367,2367,2439,FCFS,0
45,Mojito,75,1779019558513,1779019560887,1779019560963,2374,2374,2450,FCFS,0
46,Beer,25,1779019558526,1779019560964,1779019560990,2438,2438,2464,FCFS,0
5,Draft Beer,50,1779019558560,1779019560993,1779019561045,2433,2433,2485,FCFS,0
19,Pina Colada,100,1779019558569,1779019561048,1779019561149,2479,2479,2580,FCFS,0
14,White Wine,25,1779019558732,1779019561152,1779019561178,2420,2420,2446,FCFS,0
47,Draft Beer,50,1779019558863,1779019561181,1779019561231,2318,2318,2368,FCFS,0
48,Cider,25,1779019558972,1779019561233,1779019561259,2261,2261,2287,FCFS,0
9,Red Wine,25,1779019559220,1779019561260,1779019561286,2040,2040,2066,FCFS,0
16,Draft Beer,50,1779019559292,1779019561287,1779019561339,1995,1995,2047,FCFS,0
24,Red Wine,25,1779019559427,1779019561341,1779019561367,1914,1914,1940,FCFS,0
25,Cider,25,1779019559473,1779019561369,1779019561395,1896,1896,1922,FCFS,0
27,White Wine,25,1779019559490,1779019561397,1779019561422,1907,1907,1932,FCFS,0
26,Red Wine,25,1779019559549,1779019561423,1779019561450,1874,1874,1901,FCFS,0
28,Gin and Tonic,40,1779019559587,1779019561451,1779019561492,1864,1864,1905,FCFS,0
29,Bloody Mary,70,1779019559664,1779019561493,1779019561564,1829,1829,1900,FCFS,0
30,Mojito,75,1779019559718,1779019561566,1779019561643,1848,1848,1925,FCFS,0
31,Draft Beer,50,1779019559725,1779019561644,1779019561696,1919,1919,1971,FCFS,0
32,Draft Beer,50,1779019559852,1779019561698,1779019561751,1846,1846,1899,FCFS,0
34,B52,200,1779019559965,1779019561752,1779019561953,1787,1787,1988,FCFS,0
33,Margarita,75,1779019559973,1779019561955,1779019562031,1982,1982,2058,FCFS,0
35,Draft Beer,50,1779019560044,1779019562032,1779019562083,1988,1988,2039,FCFS,0
49,Beer,25,1779019560104,1779019562086,1779019562112,1982,1982,2008,FCFS,0
36,Beer,25,1779019560108,1779019562113,1779019562140,2005,2005,2032,FCFS,0
38,Margarita,75,1779019560191,1779019562141,1779019562217,1950,1950,2026,FCFS,0
37,Tequila shot,20,1779019560220,1779019562219,1779019562239,1999,1999,2019,FCFS,0
39,White Wine,25,1779019560294,1779019562242,1779019562269,1948,1948,1975,FCFS,0
40,Margarita,75,1779019560358,1779019562272,1779019562347,1914,1914,1989,FCFS,0
41,Mojito,75,1779019560461,1779019562349,1779019562426,1888,1888,1965,FCFS,0
43,Margarita,75,1779019560523,1779019562428,1779019562504,1905,1905,1981,FCFS,0
11,Draft Beer,50,1779019560544,1779019562506,1779019562556,1962,1962,2012,FCFS,0
42,Cosmopolitan,65,1779019560605,1779019562560,1779019562626,1955,1955,2021,FCFS,0
17,Pina Colada,100,1779019560765,1779019562628,1779019562729,1863,1863,1964,FCFS,0
7,Bloody Mary,70,1779019560797,1779019562731,1779019562802,1934,1934,2005,FCFS,0
4,White Wine,25,1779019560870,1779019562803,1779019562830,1933,1933,1960,FCFS,0
13,Bloody Mary,70,1779019560912,1779019562832,1779019562903,1920,1920,1991,FCFS,0
20,Pina Colada,100,1779019561036,1779019562904,1779019563007,1868,1868,1971,FCFS,0
45,Tequila shot,20,1779019561075,1779019563011,1779019563033,1936,1936,1958,FCFS,0
46,Tequila shot,20,1779019561093,1779019563035,1779019563056,1942,1942,1963,FCFS,0
5,Mojito,75,1779019561147,1779019563058,1779019563134,1911,1911,1987,FCFS,0
19,Vodka shot,20,1779019561270,1779019563136,1779019563157,1866,1866,1887,FCFS,0
14,Pina Colada,100,1779019561330,1779019563159,1779019563260,1829,1829,1930,FCFS,0
47,Martini,60,1779019561332,1779019563263,1779019563323,1931,1931,1991,FCFS,0
48,Cider,25,1779019561360,1779019563324,1779019563351,1964,1964,1991,FCFS,0
9,B52,200,1779019561437,1779019563352,1779019563554,1915,1915,2117,FCFS,0
16,Tequila shot,20,1779019561440,1779019563556,1779019563578,2116,2116,2138,FCFS,0
25,Beer,25,1779019561496,1779019563580,1779019563607,2084,2084,2111,FCFS,0
24,Draft Beer,50,1779019561518,1779019563609,1779019563660,2091,2091,2142,FCFS,0
27,Margarita,75,1779019561573,1779019563661,1779019563738,2088,2088,2165,FCFS,0
26,Red Wine,25,1779019561600,1779019563740,1779019563766,2140,2140,2166,FCFS,0
30,Red Wine,25,1779019561755,1779019563768,1779019563795,2013,2013,2040,FCFS,0
31,Pina Colada,100,1779019561798,1779019563797,1779019563898,1999,1999,2100,FCFS,0
32,Vodka shot,20,1779019561853,1779019563900,1779019563922,2047,2047,2069,FCFS,0
34,White Wine,25,1779019561964,1779019563925,1779019563951,1961,1961,1987,FCFS,0
33,Draft Beer,50,1779019562111,1779019563953,1779019564006,1842,1842,1895,FCFS,0
35,Pina Colada,100,1779019562185,1779019564007,1779019564109,1822,1822,1924,FCFS,0
49,Bloody Mary,70,1779019562214,1779019564110,1779019564181,1896,1896,1967,FCFS,0
37,Mojito,75,1779019562244,1779019564183,1779019564259,1939,1939,2015,FCFS,0
38,Tequila shot,20,1779019562297,1779019564261,1779019564282,1964,1964,1985,FCFS,0
39,Beer,25,1779019562419,1779019564284,1779019564310,1865,1865,1891,FCFS,0
40,Cider,25,1779019562428,1779019564312,1779019564338,1884,1884,1910,FCFS,0
41,B52,200,1779019562538,1779019564340,1779019564541,1802,1802,2003,FCFS,0
43,Cosmopolitan,65,1779019562585,1779019564544,1779019564610,1959,1959,2025,FCFS,0
11,Bloody Mary,70,1779019562658,1779019564611,1779019564683,1953,1953,2025,FCFS,0
42,Draft Beer,50,1779019562677,1779019564684,1779019564736,2007,2007,2059,FCFS,0
17,Gin and Tonic,40,1779019562850,1779019564737,1779019564779,1887,1887,1929,FCFS,0
7,Margarita,75,1779019562953,1779019564780,1779019564856,1827,1827,1903,FCFS,0
4,Cosmopolitan,65,1779019562981,1779019564858,1779019564924,1877,1877,1943,FCFS,0
45,Cider,25,1779019563037,1779019564927,1779019564953,1890,1890,1916,FCFS,0
13,Mojito,75,1779019563054,1779019564956,1779019565033,1902,1902,1979,FCFS,0
46,Tequila shot,20,1779019563060,1779019565034,1779019565057,1974,1974,1997,FCFS,0
20,Cosmopolitan,65,1779019563128,1779019565059,1779019565125,1931,1931,1997,FCFS,0
19,White Wine,25,1779019563161,1779019565127,1779019565152,1966,1966,1991,FCFS,0
47,Cider,25,1779019563436,1779019565153,1779019565179,1717,1717,1743,FCFS,0
9,Cider,25,1779019563565,1779019565180,1779019565208,1615,1615,1643,FCFS,0
16,Bloody Mary,70,1779019563583,1779019565209,1779019565279,1626,1626,1696,FCFS,0
24,Draft Beer,50,1779019563760,1779019565281,1779019565333,1521,1521,1573,FCFS,0
27,Beer,25,1779019563819,1779019565334,1779019565361,1515,1515,1542,FCFS,0
26,B52,200,1779019563918,1779019565362,1779019565563,1444,1444,1645,FCFS,0
32,Tequila shot,20,1779019563926,1779019565566,1779019565591,1640,1640,1665,FCFS,0
30,Tequila shot,20,1779019563947,1779019565594,1779019565616,1647,1647,1669,FCFS,0
34,Mojito,75,1779019564102,1779019565617,1779019565693,1515,1515,1591,FCFS,0
35,Cosmopolitan,65,1779019564229,1779019565697,1779019565762,1468,1468,1533,FCFS,0
38,Mojito,75,1779019564286,1779019565764,1779019565841,1478,1478,1555,FCFS,0
49,Tequila shot,20,1779019564333,1779019565842,1779019565863,1509,1509,1530,FCFS,0
37,Pina Colada,100,1779019564370,1779019565864,1779019565965,1494,1494,1595,FCFS,0
39,Margarita,75,1779019564413,1779019565968,1779019566045,1555,1555,1632,FCFS,0
40,Mojito,75,1779019564439,1779019566046,1779019566123,1607,1607,1684,FCFS,0
41,Pina Colada,100,1779019564553,1779019566124,1779019566225,1571,1571,1672,FCFS,0
43,White Wine,25,1779019564661,1779019566226,1779019566253,1565,1565,1592,FCFS,0
42,Pina Colada,100,1779019564837,1779019566254,1779019566356,1417,1417,1519,FCFS,0
17,Red Wine,25,1779019564889,1779019566357,1779019566384,1468,1468,1495,FCFS,0
7,Martini,60,1779019564937,1779019566385,1779019566447,1448,1448,1510,FCFS,0
4,Cider,25,1779019564975,1779019566448,1779019566475,1473,1473,1500,FCFS,0
45,White Wine,25,1779019565055,1779019566476,1779019566504,1421,1421,1449,FCFS,0
