PatronID,DrinkName,PreparationTime,ArrivalTime,ServiceStartTime,CompletionTime,WaitingTime,ResponseTime,TurnaroundTime,Scheduler,OverheadSwitchTime
0,Tequila shot,20,1779027854237,1779027854237,1779027854259,0,0,22,PRIORITY,0
0,Vodka shot,20,1779027854263,1779027854271,1779027854292,8,8,29,PRIORITY,0
1,Cider,25,1779027854268,1779027854294,1779027854321,26,26,53,PRIORITY,0
0,Martini,60,1779027854296,1779027854322,1779027854385,26,26,89,PRIORITY,0
2,Cosmopolitan,65,1779027854291,1779027854387,1779027854453,96,96,162,PRIORITY,0
1,B52,200,1779027854423,1779027854455,1779027854656,32,32,233,PRIORITY,0
0,Margarita,75,1779027854497,1779027854659,1779027854736,162,162,239,PRIORITY,0
2,Mojito,75,1779027854505,1779027854737,1779027854815,232,232,310,PRIORITY,0
3,Cosmopolitan,65,1779027854342,1779027854816,1779027854883,474,474,541,PRIORITY,0
4,Cider,25,1779027854463,1779027854884,1779027854911,421,421,448,PRIORITY,0
5,Cosmopolitan,65,1779027854558,1779027854912,1779027854979,354,354,421,PRIORITY,0
2,B52,200,1779027854926,1779027854982,1779027855183,56,56,257,PRIORITY,0
3,Mojito,75,1779027854935,1779027855185,1779027855262,250,250,327,PRIORITY,0
2,Vodka shot,20,1779027855195,1779027855264,1779027855285,69,69,90,PRIORITY,0
5,Bloody Mary,70,1779027855032,1779027855286,1779027855358,254,254,326,PRIORITY,0
2,Draft Beer,50,1779027855290,1779027855359,1779027855411,69,69,121,PRIORITY,0
6,B52,200,1779027854608,1779027855413,1779027855614,805,805,1006,PRIORITY,0
2,Beer,25,1779027855512,1779027855616,1779027855643,104,104,131,PRIORITY,0
5,Martini,60,1779027855508,1779027855645,1779027855706,137,137,198,PRIORITY,0
6,White Wine,25,1779027855626,1779027855707,1779027855733,81,81,107,PRIORITY,0
7,Cider,25,1779027854887,1779027855735,1779027855761,848,848,874,PRIORITY,0
2,Bloody Mary,70,1779027855746,1779027855764,1779027855835,18,18,89,PRIORITY,0
5,Gin and Tonic,40,1779027855817,1779027855846,1779027855886,29,29,69,PRIORITY,0
6,Mojito,75,1779027855884,1779027855888,1779027855965,4,4,81,PRIORITY,0
7,Margarita,75,1779027855863,1779027855967,1779027856043,104,104,180,PRIORITY,0
2,Pina Colada,100,1779027855986,1779027856046,1779027856147,60,60,161,PRIORITY,0
5,Margarita,75,1779027855998,1779027856149,1779027856226,151,151,228,PRIORITY,0
7,Bloody Mary,70,1779027856124,1779027856229,1779027856300,105,105,176,PRIORITY,0
8,Tequila shot,20,1779027855002,1779027856301,1779027856322,1299,1299,1320,PRIORITY,0
