PatronID,DrinkName,PreparationTime,ArrivalTime,ServiceStartTime,CompletionTime,WaitingTime,ResponseTime,TurnaroundTime,Scheduler,OverheadSwitchTime
0,Vodka shot,20,1779023744054,1779023744055,1779023744076,1,1,22,SJF,0
0,Tequila shot,20,1779023744080,1779023744091,1779023744113,11,11,33,SJF,0
1,Gin and Tonic,40,1779023744105,1779023744114,1779023744156,9,9,51,SJF,0
0,Tequila shot,20,1779023744117,1779023744158,1779023744180,41,41,63,SJF,0
0,Pina Colada,100,1779023744184,1779023744185,1779023744288,1,1,104,SJF,0
1,Tequila shot,20,1779023744267,1779023744290,1779023744313,23,23,46,SJF,0
2,White Wine,25,1779023744286,1779023744316,1779023744355,30,30,69,SJF,0
1,Cider,25,1779023744317,1779023744373,1779023744400,56,56,83,SJF,0
3,Gin and Tonic,40,1779023744374,1779023744402,1779023744443,28,28,69,SJF,0
0,Draft Beer,50,1779023744410,1779023744446,1779023744497,36,36,87,SJF,0
2,White Wine,25,1779023744525,1779023744525,1779023744552,0,0,27,SJF,0
3,Pina Colada,100,1779023744553,1779023744555,1779023744657,2,2,104,SJF,0
0,Beer,25,1779023744599,1779023744660,1779023744685,61,61,86,SJF,0
6,Tequila shot,20,1779023744670,1779023744686,1779023744709,16,16,39,SJF,0
7,Beer,25,1779023744689,1779023744711,1779023744737,22,22,48,SJF,0
5,Bloody Mary,70,1779023744650,1779023744740,1779023744810,90,90,160,SJF,0
3,Cosmopolitan,65,1779023744778,1779023744813,1779023744879,35,35,101,SJF,0
7,White Wine,25,1779023744840,1779023744881,1779023744908,41,41,68,SJF,0
4,Mojito,75,1779023744578,1779023744910,1779023744986,332,332,408,SJF,0
3,Cosmopolitan,65,1779023744930,1779023744987,1779023745054,57,57,124,SJF,0
8,Tequila shot,20,1779023745015,1779023745056,1779023745078,41,41,63,SJF,0
9,White Wine,25,1779023745073,1779023745080,1779023745106,7,7,33,SJF,0
8,Gin and Tonic,40,1779023745082,1779023745109,1779023745150,27,27,68,SJF,0
2,Margarita,75,1779023744704,1779023745152,1779023745228,448,448,524,SJF,0
6,Margarita,75,1779023744713,1779023745230,1779023745306,517,517,593,SJF,0
9,Beer,25,1779023745259,1779023745308,1779023745334,49,49,75,SJF,0
8,Draft Beer,50,1779023745261,1779023745338,1779023745389,77,77,128,SJF,0
6,Gin and Tonic,40,1779023745387,1779023745391,1779023745433,4,4,46,SJF,0
5,Margarita,75,1779023744961,1779023745436,1779023745511,475,475,550,SJF,0
12,Vodka shot,20,1779023745453,1779023745512,1779023745533,59,59,80,SJF,0
9,White Wine,25,1779023745436,1779023745536,1779023745562,100,100,126,SJF,0
12,Tequila shot,20,1779023745538,1779023745563,1779023745584,25,25,46,SJF,0
6,Tequila shot,20,1779023745545,1779023745586,1779023745608,41,41,63,SJF,0
12,Tequila shot,20,1779023745588,1779023745609,1779023745631,21,21,43,SJF,0
18,Tequila shot,20,1779023745616,1779023745633,1779023745655,17,17,39,SJF,0
15,Beer,25,1779023745558,1779023745656,1779023745682,98,98,124,SJF,0
17,Red Wine,25,1779023745602,1779023745685,1779023745711,83,83,109,SJF,0
12,Beer,25,1779023745635,1779023745713,1779023745740,78,78,105,SJF,0
9,Beer,25,1779023745713,1779023745742,1779023745768,29,29,55,SJF,0
16,Gin and Tonic,40,1779023745560,1779023745771,1779023745813,211,211,253,SJF,0
19,Gin and Tonic,40,1779023745636,1779023745817,1779023745858,181,181,222,SJF,0
18,Gin and Tonic,40,1779023745659,1779023745859,1779023745901,200,200,242,SJF,0
9,White Wine,25,1779023745871,1779023745902,1779023745929,31,31,58,SJF,0
5,Draft Beer,50,1779023745592,1779023745930,1779023745981,338,338,389,SJF,0
13,Martini,60,1779023745454,1779023745983,1779023746045,529,529,591,SJF,0
14,Martini,60,1779023745495,1779023746046,1779023746108,551,551,613,SJF,0
9,White Wine,25,1779023746080,1779023746110,1779023746138,30,30,58,SJF,0
5,Draft Beer,50,1779023746083,1779023746141,1779023746193,58,58,110,SJF,0
21,Beer,25,1779023746151,1779023746195,1779023746221,44,44,70,SJF,0
14,White Wine,25,1779023746219,1779023746223,1779023746248,4,4,29,SJF,0
13,Draft Beer,50,1779023746157,1779023746251,1779023746302,94,94,145,SJF,0
9,Martini,60,1779023746289,1779023746304,1779023746365,15,15,76,SJF,0
21,Tequila shot,20,1779023746323,1779023746367,1779023746389,44,44,66,SJF,0
24,Tequila shot,20,1779023746378,1779023746391,1779023746413,13,13,35,SJF,0
21,Martini,60,1779023746394,1779023746415,1779023746477,21,21,83,SJF,0
9,Vodka shot,20,1779023746477,1779023746479,1779023746501,2,2,24,SJF,0
16,Cosmopolitan,65,1779023745924,1779023746503,1779023746569,579,579,645,SJF,0
18,Bloody Mary,70,1779023746011,1779023746570,1779023746641,559,559,630,SJF,0
25,Draft Beer,50,1779023746591,1779023746644,1779023746696,53,53,105,SJF,0
28,Beer,25,1779023746693,1779023746697,1779023746723,4,4,30,SJF,0
27,Draft Beer,50,1779023746602,1779023746725,1779023746776,123,123,174,SJF,0
26,Martini,60,1779023746592,1779023746778,1779023746840,186,186,248,SJF,0
29,Cosmopolitan,65,1779023746722,1779023746841,1779023746908,119,119,186,SJF,0
30,White Wine,25,1779023746875,1779023746910,1779023746936,35,35,61,SJF,0
28,Cosmopolitan,65,1779023746824,1779023746938,1779023747004,114,114,180,SJF,0
26,Vodka shot,20,1779023746952,1779023747006,1779023747027,54,54,75,SJF,0
32,Cosmopolitan,65,1779023747025,1779023747028,1779023747094,3,3,69,SJF,0
28,Vodka shot,20,1779023747056,1779023747094,1779023747117,38,38,61,SJF,0
25,Bloody Mary,70,1779023746797,1779023747118,1779023747189,321,321,392,SJF,0
33,Cider,25,1779023747129,1779023747191,1779023747218,62,62,89,SJF,0
32,Martini,60,1779023747144,1779023747220,1779023747282,76,76,138,SJF,0
34,Cosmopolitan,65,1779023747145,1779023747285,1779023747351,140,140,206,SJF,0
33,Beer,25,1779023747319,1779023747355,1779023747382,36,36,63,SJF,0
35,White Wine,25,1779023747327,1779023747384,1779023747411,57,57,84,SJF,0
32,Beer,25,1779023747394,1779023747413,1779023747439,19,19,45,SJF,0
7,Margarita,75,1779023745059,1779023747441,1779023747519,2382,2382,2460,SJF,0
4,Margarita,75,1779023745097,1779023747521,1779023747597,2424,2424,2500,SJF,0
36,Vodka shot,20,1779023747532,1779023747600,1779023747622,68,68,90,SJF,0
35,Beer,25,1779023747562,1779023747624,1779023747651,62,62,89,SJF,0
39,White Wine,25,1779023747610,1779023747654,1779023747681,44,44,71,SJF,0
4,Tequila shot,20,1779023747678,1779023747688,1779023747709,10,10,31,SJF,0
40,Red Wine,25,1779023747661,1779023747710,1779023747736,49,49,75,SJF,0
7,Draft Beer,50,1779023747601,1779023747738,1779023747789,137,137,188,SJF,0
41,Tequila shot,20,1779023747744,1779023747790,1779023747812,46,46,68,SJF,0
42,White Wine,25,1779023747794,1779023747813,1779023747839,19,19,45,SJF,0
41,Draft Beer,50,1779023747816,1779023747840,1779023747891,24,24,75,SJF,0
40,Red Wine,25,1779023747888,1779023747892,1779023747918,4,4,30,SJF,0
44,Tequila shot,20,1779023747895,1779023747920,1779023747941,25,25,46,SJF,0
43,Gin and Tonic,40,1779023747857,1779023747943,1779023747983,86,86,126,SJF,0
39,Draft Beer,50,1779023747832,1779023747986,1779023748038,154,154,206,SJF,0
42,Beer,25,1779023747990,1779023748040,1779023748066,50,50,76,SJF,0
4,Cosmopolitan,65,1779023747713,1779023748069,1779023748135,356,356,422,SJF,0
3,Margarita,75,1779023745106,1779023748136,1779023748213,3030,3030,3107,SJF,0
42,Cider,25,1779023748167,1779023748214,1779023748239,47,47,72,SJF,0
39,Draft Beer,50,1779023748140,1779023748241,1779023748293,101,101,153,SJF,0
3,Martini,60,1779023748293,1779023748293,1779023748354,0,0,61,SJF,0
11,Margarita,75,1779023745284,1779023748355,1779023748432,3071,3071,3148,SJF,0
39,White Wine,25,1779023748394,1779023748434,1779023748460,40,40,66,SJF,0
8,Mojito,75,1779023745490,1779023748461,1779023748538,2971,2971,3048,SJF,0
20,Mojito,75,1779023745669,1779023748540,1779023748616,2871,2871,2947,SJF,0
39,Gin and Tonic,40,1779023748611,1779023748617,1779023748660,6,6,49,SJF,0
46,Tequila shot,20,1779023748660,1779023748661,1779023748684,1,1,24,SJF,0
8,Martini,60,1779023748649,1779023748687,1779023748748,38,38,99,SJF,0
46,Gin and Tonic,40,1779023748690,1779023748751,1779023748792,61,61,102,SJF,0
39,White Wine,25,1779023748772,1779023748793,1779023748820,21,21,48,SJF,0
